  1     3s2_1S   1  0.000
  2    3s3p_3P   9  2.714
  3    3s3p_1P   3  4.346
  4    3s4s_3S   3  5.108
  5    3s4s_1S   1  5.394
  6    3s3d_1D   5  5.753
  7    3s4p_3P   9  5.932
  8    3s3d_3D  15  5.946
  9    3s4p_1P   3  6.118
 10    3s5s_3S   3  6.431
 11    3s5s_1S   1  6.516
 12    3s4d_1D   5  6.588
 13    3s4d_3D  15  6.719
 14    3s5p_3P   9  6.726
 15    3s4f_1F   7  6.779
 16    3s4f_3F  21  6.779
 17    3s5p_1P   3  6.783
 18    3s6s_3S   3  6.930
 19    3s6s_1S   1  6.966
 20    3s5d_1D   5  6.981
 21    3s5d_3D  15  7.063
 22    3s6p_3P   9  7.069
 23    3s5f_1F   7  7.092
 24    3s5f_3F  21  7.092
 25    3s6p_1P   3  7.094
